what up?|core:whatup
Hey dude, what's good?|core:whatup
Hey man, what up?|core:whatup
Hey, how's it going?|core:whatup
How's it going dude?|core:whatup
How's life?|core:whatup
how's it hanging homeboy?|core:whatup
hows it goin?|core:whatup
How is everything dude?|core:whatup
What's new man?|core:whatup
Doing alright today?|core:whatup
What's the sitch?|core:whatup
How's it hangin?|core:whatup
How are you today?|core:whatup
How are you this morning man?|core:whatup
What's new?|core:whatup
What's the dealio?|core:whatup
What's the deal?|core:whatup
What da deal?|core:whatup
What tha deal?|core:whatup
What the fuck is up?|core:whatup
What's crackin?|core:whatup
What be crackin doe?|core:whatup
What in the hell is going on?|core:whatup
What da hell is goin on?|core:whatup
What in the world is going on?|core:whatup
How are you feeling?|core:whatup
Doing okay today?|core:whatup
What's new dude?|core:whatup
what up|core:whatup
what be crackin doe?|core:whatup
what the fuck is up?|core:whatup
what's crackin homie?|core:whatup
how's life treating you?|core:whatup
what's the sitch?|core:whatup
what tha deal?|core:whatup
how's life?|core:whatup
what's new?|core:whatup
whats goo?|core:whatup
what's good?|core:whatup
what's groovy?|core:whatup
what's new?|core:whatup
how's life?|core:whatup
Not much dude, how are you?|core:whatup
how's it going?|core:whatup
Hey there how are you?|core:whatup
what's crackin homie?|core:whatup
How's it going?|core:whatup
what's crackin ?|core:whatup
what are you up to?|core:whatup
How's life treating you?|core:whatup
what's up|core:whatup
what's new|core:whatup
what's the sitch|core:whatup
what's the sitch|core:whatup
what are you up to|core:whatup
how are you|core:whatup
what's going on|core:whatup
hey what's up|core:whatup
how's life|core:whatup
what's the sitch|core:whatup
how's it shakin|core:whatup
what's crackin|core:whatup
how's it going old sport|core:whatup
hey what's up|core:whatup
what's crackin|core:whatup
what's crackin|core:whatup
what up|core:whatup
what's up|core:whatup
what's up ?|core:whatup
how are you|core:whatup
how are you today|core:whatup
what's up|core:whatup
how are you|core:whatup
what's up|core:whatup
what're you up to?|core:whatup
what're you up to?|core:whatup
what's up|core:whatup
what's up|core:whatup
hey what's up?|core:whatup
hey how's it hangin?|core:whatup
what's shakin?|core:whatup
I mean what's what's up|core:whatup
what's up|core:whatup
what's up|core:whatup
hey dude what's up?|core:whatup
hey what's up?|core:whatup
what's going on?|core:whatup
hey what's up|core:whatup
what the fuck is up?|core:whatup
what's up?|core:whatup
what's up|core:whatup
what are you up to|core:whatup
what are you up to?|core:whatup
what's up|core:whatup
