What's my name?|user:name
Who am I?|user:name
Who are you speaking with?|user:name
Say my name|user:name
What is my name?|user:name
Who am I again?|user:name
What's my name dude?|user:name
Hey homie, tell me who I am.|user:name
What is my full name?|user:name
Who are you speaking with?|user:name
Who you speaking to?|user:name
Tell me who I am.|user:name
Tell me my name.|user:name
What is my full name?|user:name
What is my proper moniker?|user:name
What do you call me?|user:name
What name do you use for me?|user:name
How do you identify me?|user:name
How do you address me?|user:name
What are my first and last name?|user:name
