Who taught you how to get sexy for a nigga?|random:yeezy
Who taught you to get sexy?|random:yeezy
Who taught you?|random:yeezy
How'd you learn to get so sexy?|random:yeezy
How did you learn to talk so dirty?|random:yeezy
Where'd you learn that?|random:yeezy
Where did you learn that?|random:yeezy
Who taught you how to put some motherfucking Jimmy Choos on?|random:yeezy
How did your pussy game come up?|random:yeezy
Where you learn to treat a nigga like this?|random:yeezy
Who taught you how to treat a nigga like this?|random:yeezy
How'd you learn that?|random:yeezy
Where'd you learn that?|random:yeezy
Where did you learn that?|random:yeezy
How'd you learn to be so sexy?|random:yeezy
How'd your pussy game come up so fast?|random:yeezy
Who taught you everything you know?|random:yeezy
Who taught you how to be such a badass?|random:yeezy
Who taught you how to be the coolest guy in the world?|random:yeezy
How did you learn to be so smart?|random:yeezy
How did you learn to be so sexy?|random:yeezy
